Store,Year,MonthN,Monthly_Sales_in_Million
5,2012,June,1.68
5,2012,July,1.29
5,2012,August,1.61
5,2012,September,1.27
5,2012,October,1.3
6,2010,February,6.26
6,2010,March,6.33
6,2010,April,8.0
6,2010,May,6.32
6,2010,June,6.86
6,2010,July,8.13
6,2010,August,6.17
6,2010,September,5.52
6,2010,October,6.75
6,2010,November,6.79
6,2010,December,9.79
6,2011,January,5.2
6,2011,February,6.0
6,2011,March,6.12
6,2011,April,7.56
6,2011,May,5.86
6,2011,June,6.47
6,2011,July,7.94
6,2011,August,6.0
6,2011,September,6.96
6,2011,October,5.71
6,2011,November,6.83
6,2011,December,9.87
6,2012,January,5.38
6,2012,February,6.21
6,2012,March,7.87
6,2012,April,6.37
6,2012,May,6.18
6,2012,June,8.29
6,2012,July,6.55
6,2012,August,7.84
6,2012,September,5.78
6,2012,October,5.85
7,2010,February,2.02
7,2010,March,2.06
7,2010,April,2.23
7,2010,May,1.61
7,2010,June,2.04
7,2010,July,2.9
7,2010,August,2.38
7,2010,September,2.05
7,2010,October,2.33
7,2010,November,2.31
7,2010,December,3.64
7,2011,January,2.24
7,2011,February,2.24
7,2011,March,2.3
7,2011,April,2.31
7,2011,May,1.7
7,2011,June,2.41
7,2011,July,3.45
7,2011,August,2.64
7,2011,September,2.79
7,2011,October,2.11
7,2011,November,2.61
7,2011,December,3.84
7,2012,January,2.43
7,2012,February,2.37
7,2012,March,3.0
7,2012,April,2.06
7,2012,May,1.93
7,2012,June,3.3
7,2012,July,2.87
7,2012,August,3.19
7,2012,September,2.2
7,2012,October,2.02
8,2010,February,3.81
8,2010,March,3.35
8,2010,April,4.34
8,2010,May,3.48
8,2010,June,3.56
8,2010,July,4.12
8,2010,August,3.52
8,2010,September,3.34
8,2010,October,4.17
8,2010,November,3.99
8,2010,December,5.53
8,2011,January,3.29
8,2011,February,3.92
8,2011,March,3.56
8,2011,April,4.53
8,2011,May,3.53
8,2011,June,3.61
8,2011,July,4.23
8,2011,August,3.56
8,2011,September,4.23
8,2011,October,3.58
8,2011,November,4.0
8,2011,December,5.48
8,2012,January,3.28
8,2012,February,3.97
8,2012,March,4.61
8,2012,April,3.71
8,2012,May,3.67
8,2012,June,4.54
8,2012,July,3.55
8,2012,August,4.64
8,2012,September,3.56
8,2012,October,3.7
9,2010,February,2.09
9,2010,March,1.97
9,2010,April,2.54
9,2010,May,2.08
9,2010,June,2.13
9,2010,July,2.42
9,2010,August,2.01
9,2010,September,1.91
9,2010,October,2.43
9,2010,November,2.33
9,2010,December,3.21
9,2011,January,1.87
9,2011,February,2.22
9,2011,March,2.07
9,2011,April,2.69
9,2011,May,2.16
9,2011,June,2.23
9,2011,July,2.55
9,2011,August,2.16
9,2011,September,2.59
9,2011,October,2.19
9,2011,November,2.55
9,2011,December,3.4
9,2012,January,1.96
9,2012,February,2.38
9,2012,March,2.87
9,2012,April,2.35
9,2012,May,2.3
9,2012,June,2.84
9,2012,July,2.13
9,2012,August,2.76
9,2012,September,2.14
9,2012,October,2.26
10,2010,February,8.49
10,2010,March,7.77
10,2010,April,9.63
10,2010,May,7.48
10,2010,June,7.36
10,2010,July,9.11
10,2010,August,7.62
10,2010,September,6.86
10,2010,October,8.6
10,2010,November,8.62
10,2010,December,12.93
10,2011,January,6.82
10,2011,February,8.16
10,2011,March,7.59
10,2011,April,9.36
10,2011,May,7.02
10,2011,June,7.06
10,2011,July,8.75
10,2011,August,7.49
10,2011,September,8.39
10,2011,October,7.01
10,2011,November,8.8
10,2011,December,12.47
10,2012,January,6.7
10,2012,February,8.29
10,2012,March,9.49
10,2012,April,7.63
10,2012,May,7.24
10,2012,June,8.88
10,2012,July,7.26
10,2012,August,9.06
10,2012,September,6.72
10,2012,October,6.95
11,2010,February,5.94
11,2010,March,5.37
11,2010,April,6.76
11,2010,May,5.12
11,2010,June,5.33
11,2010,July,6.37
11,2010,August,5.5
11,2010,September,4.92
11,2010,October,6.02
11,2010,November,5.66
11,2010,December,8.27
11,2011,January,4.66
11,2011,February,5.72
11,2011,March,5.34
11,2011,April,6.64
11,2011,May,5.07
11,2011,June,5.25
11,2011,July,6.4
11,2011,August,5.55
11,2011,September,6.24
11,2011,October,5.27
11,2011,November,5.99
11,2011,December,8.4
11,2012,January,4.92
11,2012,February,5.9
11,2012,March,6.89
11,2012,April,5.62
11,2012,May,5.32
11,2012,June,6.85
11,2012,July,5.4
11,2012,August,6.99
11,2012,September,5.13
11,2012,October,5.17
12,2010,February,4.36
12,2010,March,4.02
12,2010,April,4.96
12,2010,May,3.92
12,2010,June,3.98
12,2010,July,4.64
12,2010,August,3.85
12,2010,September,3.68
12,2010,October,4.44
12,2010,November,4.37
12,2010,December,6.15
12,2011,January,3.4
12,2011,February,4.31
12,2011,March,4.05
12,2011,April,5.01
12,2011,May,3.89
12,2011,June,3.95
12,2011,July,4.65
12,2011,August,3.93
12,2011,September,4.6
12,2011,October,3.81
12,2011,November,4.71
12,2011,December,6.28
12,2012,January,3.56
12,2012,February,4.61
12,2012,March,5.42
12,2012,April,4.22
12,2012,May,4.13
12,2012,June,5.01
12,2012,July,3.83
12,2012,August,5.06
12,2012,September,3.64
12,2012,October,3.85
13,2010,February,7.79
13,2010,March,7.54
13,2010,April,9.56
13,2010,May,7.63
13,2010,June,8.03
13,2010,July,9.55
13,2010,August,7.75
13,2010,September,7.18
13,2010,October,9.17
13,2010,November,8.49
13,2010,December,12.59
13,2011,January,6.83
13,2011,February,7.63
13,2011,March,7.41
13,2011,April,9.72
13,2011,May,7.67
13,2011,June,8.03
13,2011,July,9.89
13,2011,August,8.17
13,2011,September,9.43
13,2011,October,7.92
13,2011,November,9.03
13,2011,December,12.8
13,2012,January,7.21
13,2012,February,8.14
13,2012,March,9.84
13,2012,April,8.26
13,2012,May,8.25
13,2012,June,10.5
13,2012,July,8.16
13,2012,August,10.31
13,2012,September,7.95
13,2012,October,8.09
14,2010,February,8.63
14,2010,March,8.51
14,2010,April,11.1
14,2010,May,8.84
14,2010,June,9.11
14,2010,July,10.8
14,2010,August,8.35
14,2010,September,8.21
14,2010,October,9.8
14,2010,November,9.06
14,2010,December,13.06
14,2011,January,6.92
14,2011,February,7.87
14,2011,March,7.78
14,2011,April,10.07
14,2011,May,8.14
14,2011,June,8.36
14,2011,July,9.84
14,2011,August,8.17
14,2011,September,9.5
14,2011,October,8.04
14,2011,November,8.91
14,2011,December,12.49
14,2012,January,6.94
14,2012,February,7.85
14,2012,March,9.69
14,2012,April,7.95
14,2012,May,7.9
14,2012,June,9.31
14,2012,July,6.44
14,2012,August,8.2
14,2012,September,6.55
14,2012,October,6.62
15,2010,February,2.56
15,2010,March,2.4
15,2010,April,3.21
15,2010,May,2.62
15,2010,June,2.64
15,2010,July,3.25
15,2010,August,2.55
15,2010,September,2.41
15,2010,October,2.93
15,2010,November,2.96
15,2010,December,4.5
15,2011,January,1.96
15,2011,February,2.34
15,2011,March,2.19
15,2011,April,2.95
15,2011,May,2.49
15,2011,June,2.63
15,2011,July,3.12
15,2011,August,2.4
15,2011,September,2.87
15,2011,October,2.31
15,2011,November,2.9
15,2011,December,4.12
15,2012,January,1.93
15,2012,February,2.31
15,2012,March,2.78
15,2012,April,2.28
15,2012,May,2.45
15,2012,June,3.22
15,2012,July,2.43
15,2012,August,2.98
15,2012,September,2.2
15,2012,October,2.24
16,2010,February,1.86
16,2010,March,1.88
16,2010,April,2.1
16,2010,May,1.72
16,2010,June,2.14
16,2010,July,2.96
16,2010,August,2.23
16,2010,September,2.11
16,2010,October,2.4
16,2010,November,2.01
16,2010,December,3.31
16,2011,January,1.96
16,2011,February,1.91
16,2011,March,1.9
16,2011,April,2.07
16,2011,May,1.71
16,2011,June,2.28
16,2011,July,2.99
16,2011,August,2.27
16,2011,September,2.65
16,2011,October,2.05
16,2011,November,2.22
16,2011,December,3.4
16,2012,January,2.0
16,2012,February,1.94
16,2012,March,2.46
16,2012,April,1.79
16,2012,May,1.92
16,2012,June,2.86
16,2012,July,2.32
16,2012,August,2.76
16,2012,September,2.04
16,2012,October,2.02
17,2010,February,3.18
17,2010,March,3.09
17,2010,April,4.16
17,2010,May,3.36
17,2010,June,3.49
17,2010,July,4.4
17,2010,August,3.14
17,2010,September,3.76
17,2010,October,4.17
17,2010,November,3.46
17,2010,December,4.88
17,2011,January,3.33
17,2011,February,3.26
17,2011,March,3.16
17,2011,April,4.3
17,2011,May,3.49
17,2011,June,3.59
17,2011,July,4.52
17,2011,August,3.3
17,2011,September,4.82
17,2011,October,3.62
17,2011,November,3.95
17,2011,December,5.06
17,2012,January,3.65
17,2012,February,3.52
17,2012,March,4.29
17,2012,April,3.91
17,2012,May,3.83
17,2012,June,4.85
17,2012,July,3.86
17,2012,August,4.36
17,2012,September,4.24
17,2012,October,3.77
18,2010,February,4.61
18,2010,March,4.5
18,2010,April,5.76
18,2010,May,4.67
18,2010,June,4.85
18,2010,July,5.66
18,2010,August,4.61
18,2010,September,4.15
18,2010,October,5.18
18,2010,November,4.87
18,2010,December,7.13
18,2011,January,3.45
18,2011,February,4.28
18,2011,March,3.96
18,2011,April,5.02
18,2011,May,4.12
18,2011,June,4.32
18,2011,July,5.06
18,2011,August,4.01
18,2011,September,4.04
18,2011,October,4.13
18,2011,November,4.86
18,2011,December,6.97
18,2012,January,3.63
18,2012,February,4.37
18,2012,March,5.19
18,2012,April,4.19
18,2012,May,4.25
18,2012,June,5.46
18,2012,July,4.14
18,2012,August,5.33
18,2012,September,4.02
18,2012,October,4.34
19,2010,February,5.93
19,2010,March,5.72
19,2010,April,7.45
19,2010,May,6.03
19,2010,June,5.84
19,2010,July,7.28
19,2010,August,5.89
19,2010,September,5.92
19,2010,October,6.94
19,2010,November,6.3
19,2010,December,9.28
19,2011,January,4.9
19,2011,February,5.56
19,2011,March,5.31
19,2011,April,6.93
19,2011,May,5.62
19,2011,June,5.78
19,2011,July,7.0
19,2011,August,5.71
19,2011,September,7.17
19,2011,October,5.55
19,2011,November,6.37
19,2011,December,8.94
19,2012,January,4.97
19,2012,February,5.62
19,2012,March,6.65
19,2012,April,5.54
19,2012,May,5.7
19,2012,June,7.13
19,2012,July,5.45
19,2012,August,7.21
19,2012,September,5.54
19,2012,October,5.4
20,2010,February,8.57
20,2010,March,7.98
20,2010,April,10.2
20,2010,May,8.13
20,2010,June,8.37
20,2010,July,10.14
20,2010,August,7.9
20,2010,September,7.87
20,2010,October,9.73
20,2010,November,9.29
20,2010,December,13.55
20,2011,January,7.27
20,2011,February,8.76
20,2011,March,7.89
20,2011,April,10.21
20,2011,May,8.03
20,2011,June,8.33
20,2011,July,10.03
20,2011,August,8.17
20,2011,September,10.01
20,2011,October,8.32
20,2011,November,9.63
20,2011,December,13.21
20,2012,January,7.53
20,2012,February,9.02
20,2012,March,10.42
20,2012,April,8.38
20,2012,May,8.49
20,2012,June,10.66
20,2012,July,8.37
20,2012,August,10.35
20,2012,September,8.17
20,2012,October,8.44
21,2010,February,3.22
21,2010,March,2.87
21,2010,April,3.62
21,2010,May,2.98
21,2010,June,3.15
21,2010,July,3.66
21,2010,August,3.24
21,2010,September,2.76
21,2010,October,3.49
21,2010,November,3.46
21,2010,December,5.18
21,2011,January,2.59
21,2011,February,3.02
21,2011,March,3.11
21,2011,April,3.83
21,2011,May,2.96
21,2011,June,3.16
21,2011,July,3.78
21,2011,August,3.24
21,2011,September,3.35
21,2011,October,2.8
21,2011,November,3.48
21,2011,December,4.91
21,2012,January,2.53
21,2012,February,3.03
21,2012,March,3.74
21,2012,April,2.94
21,2012,May,2.77
21,2012,June,3.58
21,2012,July,2.73
21,2012,August,3.71
21,2012,September,2.59
21,2012,October,2.62
22,2010,February,3.94
22,2010,March,3.95
22,2010,April,5.16
22,2010,May,4.11
22,2010,June,4.3
22,2010,July,5.15
22,2010,August,4.1
22,2010,September,3.82
22,2010,October,4.86
22,2010,November,4.6
22,2010,December,6.86
22,2011,January,3.34
22,2011,February,3.84
22,2011,March,3.8
22,2011,April,5.01
22,2011,May,4.03
22,2011,June,4.24
22,2011,July,4.97
22,2011,August,4.13
22,2011,September,4.71
22,2011,October,4.02
22,2011,November,4.7
22,2011,December,6.78
22,2012,January,3.43
22,2012,February,3.91
22,2012,March,4.89
22,2012,April,4.06
22,2012,May,4.04
22,2012,June,5.39
22,2012,July,3.99
22,2012,August,5.05
22,2012,September,3.81
22,2012,October,4.09
23,2010,February,5.26
23,2010,March,5.26
23,2010,April,6.68
23,2010,May,5.57
23,2010,June,5.88
23,2010,July,7.03
23,2010,August,5.79
23,2010,September,4.94
23,2010,October,5.69
23,2010,November,5.98
23,2010,December,9.63
23,2011,January,4.33
23,2011,February,4.99
23,2011,March,4.7
23,2011,April,6.32
23,2011,May,5.31
23,2011,June,5.91
23,2011,July,6.91
23,2011,August,5.89
23,2011,September,6.71
23,2011,October,5.57
23,2011,November,6.27
23,2011,December,9.37
23,2012,January,4.37
23,2012,February,5.26
23,2012,March,6.42
23,2012,April,5.4
23,2012,May,5.53
23,2012,June,7.56
23,2012,July,5.63
23,2012,August,7.64
23,2012,September,5.36
23,2012,October,5.59
24,2010,February,5.35
24,2010,March,5.2
24,2010,April,6.65
24,2010,May,5.51
24,2010,June,5.7
24,2010,July,7.37
24,2010,August,5.55
24,2010,September,5.28
24,2010,October,6.36
24,2010,November,5.65
24,2010,December,8.26
24,2011,January,4.58
24,2011,February,5.16
24,2011,March,4.93
24,2011,April,6.25
24,2011,May,5.2
24,2011,June,5.55
24,2011,July,7.04
24,2011,August,5.57
24,2011,September,6.43
24,2011,October,5.33
24,2011,November,5.87
24,2011,December,8.02
24,2012,January,4.62
24,2012,February,5.28
24,2012,March,6.23
24,2012,April,5.21
24,2012,May,5.37
24,2012,June,7.1
24,2012,July,5.75
24,2012,August,6.98
24,2012,September,5.24
24,2012,October,5.4
25,2010,February,2.57
25,2010,March,2.68
25,2010,April,3.65
25,2010,May,2.92
25,2010,June,3.02
25,2010,July,3.55
25,2010,August,2.82
25,2010,September,2.58
25,2010,October,3.29
25,2010,November,3.24
25,2010,December,4.82
25,2011,January,2.3
25,2011,February,2.46
25,2011,March,2.46
25,2011,April,3.35
25,2011,May,2.74
25,2011,June,2.89
25,2011,July,3.42
25,2011,August,2.76
25,2011,September,3.26
25,2011,October,2.73
25,2011,November,3.28
25,2011,December,4.77
25,2012,January,2.44
25,2012,February,2.57
25,2012,March,3.28
25,2012,April,2.77
25,2012,May,2.94
25,2012,June,3.62
25,2012,July,2.81
25,2012,August,3.62
25,2012,September,2.68
25,2012,October,2.77
26,2010,February,3.9
26,2010,March,3.77
26,2010,April,4.74
26,2010,May,4.1
26,2010,June,4.05
26,2010,July,5.21
26,2010,August,4.12
26,2010,September,3.87
26,2010,October,4.67
26,2010,November,4.13
26,2010,December,5.81
26,2011,January,3.38
26,2011,February,3.81
26,2011,March,3.65
26,2011,April,4.49
26,2011,May,3.9
26,2011,June,4.13
26,2011,July,5.25
26,2011,August,4.28
26,2011,September,4.94
26,2011,October,4.07
26,2011,November,4.3
26,2011,December,5.85
26,2012,January,3.47
26,2012,February,3.9
26,2012,March,4.7
26,2012,April,3.84
26,2012,May,4.05
26,2012,June,5.26
26,2012,July,4.32
26,2012,August,5.36
26,2012,September,3.99
26,2012,October,4.07
27,2010,February,6.96
27,2010,March,6.78
27,2010,April,9.52
27,2010,May,7.58
27,2010,June,7.8
27,2010,July,9.65
27,2010,August,7.58
27,2010,September,7.05
27,2010,October,8.36
27,2010,November,7.85
27,2010,December,10.89
27,2011,January,6.04
27,2011,February,6.66
27,2011,March,6.45
27,2011,April,8.61
27,2011,May,7.07
27,2011,June,7.5
27,2011,July,9.21
27,2011,August,7.32
27,2011,September,8.24
27,2011,October,6.75
27,2011,November,7.65
27,2011,December,10.42
27,2012,January,5.83
27,2012,February,6.47
27,2012,March,7.99
27,2012,April,6.75
27,2012,May,6.87
27,2012,June,9.12
27,2012,July,7.17
27,2012,August,8.67
27,2012,September,6.46
27,2012,October,6.58
28,2010,February,6.26
28,2010,March,5.46
28,2010,April,6.52
28,2010,May,5.17
28,2010,June,5.39
28,2010,July,6.32
28,2010,August,5.13
28,2010,September,5.04
28,2010,October,6.05
28,2010,November,5.88
28,2010,December,7.54
28,2011,January,4.71
28,2011,February,5.79
28,2011,March,5.59
28,2011,April,6.51
28,2011,May,5.08
28,2011,June,5.22
28,2011,July,6.26
28,2011,August,5.11
28,2011,September,6.17
28,2011,October,5.22
28,2011,November,6.16
28,2011,December,7.33
28,2012,January,4.89
28,2012,February,5.93
28,2012,March,6.9
28,2012,April,5.2
28,2012,May,5.08
28,2012,June,6.23
28,2012,July,4.97
28,2012,August,6.26
28,2012,September,4.86
28,2012,October,5.03
29,2010,February,2.1
29,2010,March,2.1
29,2010,April,2.69
29,2010,May,2.17
29,2010,June,2.27
29,2010,July,2.67
29,2010,August,2.09
29,2010,September,2.0
29,2010,October,2.52
29,2010,November,2.53
29,2010,December,3.8
29,2011,January,1.74
29,2011,February,2.08
29,2011,March,2.0
29,2011,April,2.58
29,2011,May,2.13
29,2011,June,2.24
29,2011,July,2.6
29,2011,August,2.08
29,2011,September,2.4
29,2011,October,2.01
29,2011,November,2.57
29,2011,December,3.52
29,2012,January,1.76
29,2012,February,2.09
29,2012,March,2.52
29,2012,April,2.18
29,2012,May,2.13
29,2012,June,2.82
29,2012,July,2.08
29,2012,August,2.6
29,2012,September,1.99
29,2012,October,2.09
30,2010,February,1.9
30,2010,March,1.83
30,2010,April,2.3
30,2010,May,1.84
30,2010,June,1.8
30,2010,July,2.2
30,2010,August,1.78
30,2010,September,1.83
30,2010,October,2.26
30,2010,November,1.8
30,2010,December,2.2
30,2011,January,1.78
30,2011,February,1.81
30,2011,March,1.74
30,2011,April,2.18
30,2011,May,1.73
30,2011,June,1.72
30,2011,July,2.11
30,2011,August,1.65
30,2011,September,1.9
30,2011,October,1.68
30,2011,November,1.73
30,2011,December,2.16
30,2012,January,1.78
30,2012,February,1.75
30,2012,March,2.18
30,2012,April,1.79
30,2012,May,1.8
30,2012,June,2.15
30,2012,July,1.71
30,2012,August,2.14
30,2012,September,1.74
30,2012,October,1.76
31,2010,February,5.83
31,2010,March,5.31
31,2010,April,6.64
31,2010,May,5.32
31,2010,June,5.48
31,2010,July,6.47
31,2010,August,5.38
31,2010,September,5.13
31,2010,October,6.3
31,2010,November,5.9
31,2010,December,7.8
31,2011,January,5.26
31,2011,February,5.89
31,2011,March,5.6
31,2011,April,6.96
31,2011,May,5.53
31,2011,June,5.72
31,2011,July,6.92
31,2011,August,5.78
31,2011,September,6.76
31,2011,October,5.56
31,2011,November,6.25
31,2011,December,7.94
31,2012,January,5.41
31,2012,February,5.88
31,2012,March,7.03
31,2012,April,5.62
31,2012,May,5.62
31,2012,June,7.02
31,2012,July,5.53
31,2012,August,6.94
31,2012,September,5.34
31,2012,October,5.48
32,2010,February,4.35
32,2010,March,4.3
32,2010,April,5.45
32,2010,May,4.56
32,2010,June,4.62
32,2010,July,5.56
32,2010,August,4.63
32,2010,September,4.24
32,2010,October,5.46
32,2010,November,4.99
32,2010,December,7.04
32,2011,January,4.16
32,2011,February,4.43
32,2011,March,4.38
32,2011,April,5.59
32,2011,May,4.64
32,2011,June,4.76
32,2011,July,5.81
32,2011,August,4.81
32,2011,September,5.63
32,2011,October,4.66
32,2011,November,5.25
32,2011,December,7.21
32,2012,January,4.3
32,2012,February,4.62
32,2012,March,5.67
32,2012,April,4.69
32,2012,May,4.78
32,2012,June,6.01
32,2012,July,4.67
32,2012,August,6.13
32,2012,September,4.6
32,2012,October,4.8
33,2010,February,1.15
33,2010,March,1.15
33,2010,April,1.45
33,2010,May,1.23
33,2010,June,1.13
33,2010,July,1.35
33,2010,August,0.98
33,2010,September,0.99
33,2010,October,1.19
33,2010,November,0.98
33,2010,December,1.17
33,2011,January,0.98
33,2011,February,1.01
33,2011,March,1.0
33,2011,April,1.28
33,2011,May,1.02
33,2011,June,0.98
33,2011,July,1.22
33,2011,August,1.0
33,2011,September,1.25
33,2011,October,1.0
33,2011,November,1.02
33,2011,December,1.22
33,2012,January,1.03
33,2012,February,1.05
33,2012,March,1.31
33,2012,April,1.1
33,2012,May,1.11
33,2012,June,1.34
33,2012,July,1.06
33,2012,August,1.31
33,2012,September,1.06
33,2012,October,1.07
34,2010,February,3.84
34,2010,March,3.61
34,2010,April,4.62
34,2010,May,3.74
34,2010,June,3.76
34,2010,July,4.54
34,2010,August,3.78
34,2010,September,3.65
34,2010,October,4.55
34,2010,November,4.22
34,2010,December,5.84
34,2011,January,3.53
34,2011,February,4.0
34,2011,March,3.84
34,2011,April,4.75
34,2011,May,3.82
34,2011,June,3.78
34,2011,July,4.51
34,2011,August,3.73
34,2011,September,4.56
34,2011,October,3.78
34,2011,November,4.28
34,2011,December,5.78
34,2012,January,3.65
34,2012,February,4.06
34,2012,March,4.85
34,2012,April,4.0
34,2012,May,3.96
34,2012,June,4.9
34,2012,July,3.83
34,2012,August,4.85
34,2012,September,3.8
34,2012,October,3.84
35,2010,February,4.69
35,2010,March,4.51
35,2010,April,5.68
35,2010,May,4.59
35,2010,June,4.87
35,2010,July,5.9
35,2010,August,4.22
35,2010,September,3.5
35,2010,October,4.13
35,2010,November,4.34
35,2010,December,5.76
35,2011,January,2.63
35,2011,February,3.31
35,2011,March,3.24
35,2011,April,4.02
35,2011,May,3.29
35,2011,June,3.49
35,2011,July,4.11
35,2011,August,3.36
35,2011,September,3.93
35,2011,October,3.18
35,2011,November,4.09
35,2011,December,5.42
35,2012,January,2.56
35,2012,February,3.23
35,2012,March,3.86
35,2012,April,3.16
35,2012,May,3.22
35,2012,June,4.46
35,2012,July,3.46
35,2012,August,4.47
35,2012,September,3.39
35,2012,October,3.43
36,2010,February,1.85
36,2010,March,1.75
36,2010,April,2.26
36,2010,May,1.89
36,2010,June,1.86
36,2010,July,2.26
36,2010,August,1.79
36,2010,September,1.74
36,2010,October,2.14
36,2010,November,1.65
36,2010,December,1.96
36,2011,January,1.57
36,2011,February,1.63
36,2011,March,1.63
36,2011,April,1.94
36,2011,May,1.51
36,2011,June,1.5
36,2011,July,1.83
36,2011,August,1.48
36,2011,September,1.68
36,2011,October,1.32
36,2011,November,1.31
36,2011,December,1.56
36,2012,January,1.29
36,2012,February,1.29
36,2012,March,1.59
36,2012,April,1.3
36,2012,May,1.27
36,2012,June,1.58
36,2012,July,1.19
36,2012,August,1.48
36,2012,September,1.16
36,2012,October,1.14
37,2010,February,2.09
37,2010,March,2.01
37,2010,April,2.62
37,2010,May,2.09
37,2010,June,1.95
37,2010,July,2.47
37,2010,August,2.0
37,2010,September,2.02
37,2010,October,2.58
37,2010,November,2.09
37,2010,December,2.59
37,2011,January,2.11
37,2011,February,2.16
37,2011,March,2.03
37,2011,April,2.65
37,2011,May,2.1
37,2011,June,2.04
37,2011,July,2.52
37,2011,August,2.05
37,2011,September,2.58
37,2011,October,2.08
37,2011,November,2.11
37,2011,December,2.66
37,2012,January,2.16
37,2012,February,2.14
37,2012,March,2.6
37,2012,April,2.12
37,2012,May,2.14
37,2012,June,2.56
37,2012,July,2.04
37,2012,August,2.59
37,2012,September,2.09
37,2012,October,2.15
38,2010,February,1.36
38,2010,March,1.38
38,2010,April,1.72
38,2010,May,1.4
38,2010,June,1.39
38,2010,July,1.71
38,2010,August,1.37
38,2010,September,1.38
38,2010,October,1.73
38,2010,November,1.43
38,2010,December,1.72
38,2011,January,1.44
38,2011,February,1.5
38,2011,March,1.46
38,2011,April,1.84
38,2011,May,1.51
38,2011,June,1.49
38,2011,July,1.87
38,2011,August,1.55
38,2011,September,1.98
38,2011,October,1.63
38,2011,November,1.63
38,2011,December,2.01
38,2012,January,1.72
38,2012,February,1.75
38,2012,March,2.17
38,2012,April,1.76
38,2012,May,1.76
38,2012,June,2.12
38,2012,July,1.74
38,2012,August,2.14
38,2012,September,1.73
38,2012,October,1.74
39,2010,February,4.9
39,2010,March,5.05
39,2010,April,6.58
39,2010,May,5.3
39,2010,June,5.53
39,2010,July,6.65
39,2010,August,5.67
39,2010,September,5.08
39,2010,October,6.3
39,2010,November,6.11
39,2010,December,8.63
39,2011,January,4.82
39,2011,February,5.15
39,2011,March,5.23
